id,name,location,latitude,longitude,notes
sugar_loaf_tavern,Sugar Loaf Tavern,Temple Bar,,,"""a drinking-house near Temple Bar"" 9 Feb, named ""the Sugar Loaf by Temple Bar, where Swan and I were last night"" 10 Feb 1659/60"
court_of_wards,Court of Wards,Westminster,,,
exchequer_court,Court of Exchequer,Westminster Palace,,,"""the Exchequer, where the Barons were hearing of causes"" - the court, distinct from office_exchequer, Mr Downing's office"
commons_lobby,House of Commons Lobby,Westminster Palace,,,
cookshop_unknown_2,Cookshop Unknown,Temple Bar,,,"""within Temple Bar, we found a pullet ready roasted"" 11 Feb 1659/60"
the_rolls,The Rolls,Chancery Lane,,,Rolls Office and Chapel
chetwind_office,Mr Chetwind Office,Chancery Lane,,,
guildhall,Guildhall,City of London,,,
three_tuns_tavern,Three Tuns Tavern,City of London,,,"""the 3 Tun tavern"", near Guildhall"
alehouse_unknown_5,Alehouse Unknown,City of London,,,"Unnamed alehouse near Guildhall, 11 Feb 1659/60"
merchant_house_unknown_1,Merchant House Unknown,City of London,,,"""a merchant's house hard by"" Guildhall, 11 Feb 1659/60; Sir Nicholas Crisp was there"
moorfields,Moorfields,City of London,,,
playfords_shop,Playford Shop,,,,"John Playford, music seller"
cumberland_lodgings,Mr Cumberland Lodgings,,,,"Richard Cumberland, ""newly come out of the country from his living"" 5 Feb 1659/60"
hering_house,Mr Hering House,City of London,,,"Hering the merchant, concerned in my Lord's Worcester money"
new_exchange,The New Exchange,The Strand,,,Shopping arcade on the south side of the Strand; distinct from the Royal Exchange in the City
